rank,name,archetype,tier,fit_score,ranked_score,commune,postcode,address,lat,lon,phone,email,website,reasoning,sources,source_id
495,Camping du Val de Sarthe,camping,A,7.0,9.80,,,,48.2242476,0.1362022,+33 2 43 97 01 93,,https://www.ville-beaumont-sur-sarthe.fr/fr/sports-et-loisirs/camping,"3-star campground with family audience, likely outdoor space, and sufficient budget; strong baseline fit if trees are present on the grounds.",osm,osm:way/177219050
496,Camping du Vieux Moulin,camping,A,7.0,9.80,La Chartre-sur-le-Loir,72340,Chemin des Bergivaux,47.7324254,0.5716896,+33 6 47 50 10 52,,https://campingduvieuxmoulin-lachartresurloir.fr/,3-star campground in Loire region with family appeal and proven budget; likely has grounds and trees suitable for aerial installation.,osm,osm:way/178012101
497,Camping d'Olivet,camping,A,7.0,9.80,Olivet,45160,Rue du Pont Bouchet,47.8564567,1.9247435,+33238635394,,https://www.night-and-day.fr/camping/22-camping-dolivet,"3-star campground with family audience, riverside location suggests trees, and adequate budget; strong mid-tier fit.",osm,osm:way/179576038
498,Chalet bucolique au bord de l'eau,treehouse_hotel,A,7.0,9.80,Olivet,45160,358 Allée de la Chapelle,47.862457,1.913477,,,https://www.gites.fr/gites_le-chalet-bucolique-au-bord-de-l-eau_olivet_h1379855.htm,Waterside chalet with outdoor/nature positioning and likely mature riparian trees; private operator with discretionary budget and adventure-oriented audience.,osm,osm:node/11795886797
499,Camping Le Mont Joli-Bois,camping,A,7.0,9.80,Criel sur Mer,,29 Rue sur la Plage,50.0255115,1.3080671,+33 235 508119;+33 629 696041,camping.criel@wanadoo.fr,https://camping-lemontjolibois.com/,"3-star seaside campground near Criel-sur-Mer with family demographic and outdoor focus; coastal areas often have scattered trees, and established campgrounds have budget flexibility for amenities.",osm,osm:way/181035991
500,Camping Les Mouettes,camping,A,7.0,9.80,Criel-sur-Mer,76910,rue de la plage,50.0303332,1.3072302,+33 235 867073,contact@camping-lesmouettes.fr,https://camping-lesmouettes.fr/,3-star coastal campground with family audience and outdoor infrastructure; similar profile to Le Mont Joli-Bois with reasonable budget likelihood.,osm,osm:way/181035992
501,Les chalets du Val de Braye,treehouse_hotel,A,7.0,9.80,,,,48.0562013,0.655953,+33 2 43 71 67 07,chalets.val.de.braye@orange.fr,https://www.chaletsduvaldebraye.fr/,Treehouse-oriented accommodation strongly suggests on-site mature trees and audience interested in elevated/nature-based experiences; good budget potential for premium positioning.,osm,osm:node/1931916195
502,Risle Seine,camping,A,7.0,9.80,,,,49.3662428,0.4863864,+33 2 32 42 46 65,,https://www.camping-risle-seine.com/,"3-star riverside campsite with strong family appeal, likely mature trees along waterfront, and higher operator tier suggesting modest discretionary budget capacity.",osm,osm:way/194907605
503,Mini-Châteaux Val de Loire,leisure_park,A,7.0,9.80,,,,47.3923511,1.0029313,,,https://www.parcminichateaux.com,"Theme park targeting families and kids with strong discretionary budget, but miniature château focus suggests limited mature tree infrastructure for rope-net anchoring.",osm,osm:way/200179789
504,Le Malaga,camping,A,7.0,9.80,,,,47.2880659,2.9438688,+337 86 21 85 98,lemalaga@laposte.net,https://www.camping-pouillysurloire.fr/,"3-star campsite appeals to families and active visitors with outdoor budgets; camping archetype suggests open grounds and likely trees, though no explicit confirmation of mature anchor points.",osm,osm:way/209380731
505,Les Acacias,camping,A,7.0,9.80,,,,48.7063504,3.2395129,,,,Name suggests established trees (Acacias); campsite archetype attracts families and outdoor enthusiasts with discretionary recreation budgets.,osm,osm:way/213572768
506,Le relais des Hautes Côtes,camping,A,7.0,9.80,Chambœuf,21220,2 Impasse du Château d'Eau,47.2326881,4.9058964,+33380585013,,https://www.camping-chamboeuf.com/,3-star rural campsite with family/active audience and likely mature grounds; premium positioning suggests adequate $5k budget capacity for added attractions.,osm,osm:way/216201513
507,Le Domaine de Dugny,camping,A,7.0,9.80,,,,47.5254939,1.1885172,,,,Campsite with explicit outdoor/natural focus and family audience; likely has mature trees on grounds and clear discretionary budget. Strong fit if trees are present.,osm,osm:way/219670794
508,Camping les 2 étangs,camping,A,7.0,9.80,,,,47.8897283,1.1975125,,,,3-star campsite indicates professional operation with discretionary budget and outdoor/family focus. Trees likely in rural camping setting; strong potential if space permits.,osm,osm:way/221952211
509,Camping Sainte-Claire,camping,A,7.0,9.80,Neufchâtel-en-Bray,76270,19 Rue de la Grande Flandre,49.7367598,1.4283515,+33 2 35 93 03 93,,http://camping-sainteclaire.com,3-star campsite in Normandy countryside with seasonal operation indicates professional management and rural setting; likely mature trees and family audience alignment.,osm,osm:way/222065204
510,Camping des Îles,camping,A,7.0,9.80,,,,48.0259857,3.3094987,+33 386 632 258,contact@camping-yonne.fr,http://camping-yonne.fr/,3-star campsite with 'Îles' (islands) name suggests water features and likely wooded grounds; established operator with budget and family audience.,osm,osm:way/222142894
511,Camping du Val Joyeux,camping,A,7.0,9.80,,,,47.5456382,0.3145531,,,www.campingduvaljoyeux.fr,Campsite with 'Val Joyeux' (Happy Valley) name and outdoor focus suggests mature trees and family/leisure audience. Established operator likely has $5k budget.,osm,osm:way/223386256
512,L'Ermitage,camping,A,7.0,9.80,,,,47.4562668,3.7380252,,,,Rural campsite with natural/pastoral branding ('L'Ermitage') suggests mature trees and outdoor grounds; family audience and operator budget fit well.,osm,osm:way/224864566
513,Weinkellerei Defert Joel,treehouse_hotel,A,7.0,9.80,Saint-Père,89450,33,47.4616703,3.763126,+33 3 86 33 20 74,,,Treehouse hotel archetype with chalet classification suggests potential mature tree infrastructure and outdoor positioning; likely has discretionary budget and target audience interested in experiential outdoor accommodation. Vézelay region is nature-focused with families and adventure visitors.,osm,osm:node/5115968092
514,Gite de Vézelay - au coeur des songes,treehouse_hotel,A,7.0,9.80,,,,47.465536,3.7450821,,,,Gîte classified as treehouse_hotel suggests tree-based or tree-adjacent accommodation with outdoor appeal; 'au coeur des songes' branding indicates premium positioning and likely family/adventure audience. Vézelay is a nature destination with appropriate demographics.,osm,osm:node/6030232024
515,Gite vezelay.eu,treehouse_hotel,A,7.0,9.80,Saint-Père,89450,26/28 Rue du Colombier,47.4617899,3.7639164,,info@vezelay.eu,https://www.vezelay.eu/,Treehouse-hotel archetype with chalet tags in Vézelay; nature-focused gîte with likely discretionary budget and family clientele. Saint-Père location in scenic region supports active outdoor recreation interest.,osm,osm:node/9874888933
516,Camping Abijune,camping,A,7.0,9.80,Le Tilleul,76790,2 Impasse Dom Fillastre,49.6824608,0.2125536,+33 2 27 43 42 91,contact@camping-abijune.com,https://www.camping-abijune.com/,"2-star campground in rural Normandy (Le Tilleul) with family audience, likely mature grounds and trees, and established budget model. Outdoor recreation focus and tier-A status suggest good fit; children's activity installations align with campground offerings.",osm,osm:way/693154094
517,Le castel de la terrasse,treehouse_hotel,A,7.0,9.80,Étretat,76790,1 Rue Jean Baptiste Cochin,49.7051375,0.2037244,,contact@casteldelaterrasse.com,https://www.casteldelaterrasse.com/,Treehouse-hotel chalet in Étretat (scenic coastal region) with likely premium budget and family/adventure audience. Grounds typical of quality country accommodations; good potential for rope-net complementing existing outdoor experience.,osm,osm:node/12529419180
518,Gîte Tilia,treehouse_hotel,A,7.0,9.80,Le Tilleul,76790,382 Rue Dom Fillastre,49.6864695,0.2131125,,,,"Treehouse-hotel archetype in rural Le Tilleul with chalet branding suggests mature trees, family clientele, and discretionary investment budget. Name 'Tilia' (linden tree genus) reinforces tree-focused identity and strong fit.",osm,osm:way/551343792
519,Camping Le Sabot Azay-le-Rideau,camping,A,7.0,9.80,,,,47.2572962,0.4701231,+33 2 46 23 25 04,contact@campinglesabot.fr,https://camping-azay-le-rideau.fr/,3-star campsite attracts families seeking outdoor adventure; typically has mature grounds with trees and adequate budget; good fit unless highly regulated public site.,osm,osm:way/226218329
520,Camping de la Hêtraie,camping,A,7.0,9.80,,,,49.7139882,0.4554778,+33 2 35 29 56 02,,https://campinglahetraie.com/,3-star campsite with name 'Hêtraie' (beech forest) strongly suggesting mature trees; family audience and adequate budget; excellent infrastructure potential.,osm,osm:way/226905371
521,Camping Les Rives de Paris - Neuilly-sur-Marne,camping,A,7.0,9.80,Neuilly-sur-Marne,93330,Chemin de l’Écluse,48.854216,2.5426015,+33 1 43 08 21 21,camping.lesrivesdeparis@neuillysurmarne.fr,https://camping.lesrivesdeparis.fr/,"Camping attracts families and outdoor enthusiasts with discretionary spending; likely has green space and trees on-site. Strong audience fit and owned/controlled land, though tree maturity unknown from tags alone.",osm,osm:way/230476577
522,Camping Municipal La Vallée,camping,A,7.0,9.80,,,,49.2030216,0.7147769,,,https://www.ville-brionne.fr/loisirs-culture-et-sport/le-camping-municipal/,"Municipal camping implies green space, families, and outdoor recreation; likely has mature trees and owned land. Discretionary budget may be moderate given municipal nature, but audience and infrastructure fit well.",osm,osm:way/230845255
523,Camping de Tournefeuille,camping,A,7.0,9.80,,,,47.3542458,1.7559992,+33 2 54 76 16 60,romo2015@outlook.fr,http://www.campingromorantin.com/,3-star camping with outdoor recreation focus attracts families and adventure seekers; typically has trees and green space. Owned/controlled land and reasonable discretionary budget for amenities.,osm,osm:way/231410676
524,Le Jardin de Sully,camping,A,7.0,9.80,,,,47.7706795,2.3627055,+332 38 67 10 84,lejardindesully@gmail.com,https://www.camping-bord-de-loire.com/camping-le-jardin-de-sully.php,"3-star camping with leisure positioning suggests family appeal, owned green space, and mature trees; good discretionary budget and audience fit for aerial activity.",osm,osm:way/231411172
525,Domaine des Alicourts,camping,A,7.0,9.80,,,,47.5435972,2.1894093,+33 2 54 88 63 34,,https://www.lesalicourts.com/,"5-star camping indicates premium positioning, stronger discretionary budget, and likely quality grounds with mature trees; excellent fit for family-focused outdoor adventure.",osm,osm:way/234752248
526,Safari Lux Tents,treehouse_hotel,A,7.0,9.80,,,,47.5463843,2.1923855,,,,"Safari-themed glamping suggests outdoor grounds, potential tree coverage, and premium-positioned audience; strong discretionary budget but lux tents may prioritize comfort over climbing infrastructure.",osm,osm:way/1066934344
527,Vitamin',camping,A,7.0,9.80,Saint-Aubin-sur-Scie,76550,865 Chemin des Vertus,49.9004221,1.0724805,+33 2 35 82 11 11,contact@camping-vitamin.com,https://www.camping-vitamin.com,"4-star campground indicates premium market segment and discretionary budget; outdoor family-oriented venue likely has trees, though not guaranteed.",osm,osm:way/245113699
528,Le Marqueval,camping,A,7.0,9.80,Hautot-sur-Mer,76550,Rue de la Mer,49.9093403,1.041562,+33 2 35 82 66 46,contact@campinglemarqueval.com,https://www.campinglemarqueval.com,"4-star coastal campground suggests premium positioning and family audience; outdoor space owned long-term, though tree presence unclear in seaside setting.",osm,osm:way/398929071
529,Domaine de la Catinière,camping,A,7.0,9.80,Fiquefleur-Équainville,27210,910 Route de la Morelle,49.401664,0.3044065,+33 232 576 351,info@camping-catiniere.com,https://www.camping-honfleur.com,4-star campground indicates premium segment with discretionary budget and family/active-play audience; likely has trees given typical Normandy/Eure landscape.,osm,osm:way/248981792
530,Halte de Mainville,camping,A,7.0,9.80,,,,49.3916218,3.1532359,+33 3 23 74 26 69,,https://www.lahaltedemainville.com.planete-moto.com,3-star campsite indicates family-oriented clientele and owned outdoor space. Camps typically have trees and discretionary budget for amenities; strong audience fit for active play.,osm,osm:way/254916397
531,Camping Municipal Les Chataigniers,camping,A,7.0,9.80,Montmirail,51210,12 Rue du Petit Saint-Lazare,48.8734296,3.5505111,+33 3 26 81 25 61,,,Municipal 2-star campsite named 'Les Châtaigniers' (chestnut trees) indicates mature tree coverage. Family audience likely; municipal status may complicate procurement but leisure parks are viable.,osm,osm:way/260639996
532,Camping La Montagne,camping,A,7.0,9.80,,,,49.5431979,2.9486106,+33 3 44 76 98 29,,https://campinglamontagne.fr/,3-star 'La Montagne' campsite suggests family audience and outdoor focus with probable tree coverage. Generic name limits confidence but mountain/pastoral reference supports trees and activity orientation.,osm,osm:way/260801123
533,Camping Le Château d'Arvid,camping,A,7.0,9.80,Villerville,14113,Route du Val,49.3889832,0.1203995,,,https://www.capfun.com/camping-france-basse_normandie-chateau_arvid-FR.html,"4-star 'Château' campsite in Villerville suggests premium positioning, family audience, and likely château/estate grounds with mature trees. Good budget tier for amenity investment.",osm,osm:way/263111478
534,Camping de la Vallée de l'Oise,camping,A,7.0,9.80,Guise,02120,33 Impasse du Camping,49.8957415,3.6341482,+33 6 74 08 50 54,camping.guise@outlook.fr,https://campingguise.wixsite.com/camping-vallee-oise,3-star campsite tagged as 'leisure park' explicitly confirms family/active-play audience and owned grounds. Likely trees on parkland; public/municipal status slightly complicates procurement but leisure parks are allowable.,osm,osm:way/264390198
535,La Confluence,camping,A,7.0,9.80,Savonnières,37510,Route du Bray,47.3500794,0.5494869,+33 2 47 50 00 25,campinglaconfluence@onlycamp.fr,https://camping-savonnieres.fr/,"3-star municipal camping in Savonnières with family focus, adequate budget tier, and outdoor grounds likely to have mature trees suitable for anchoring.",osm,osm:way/270460196
536,Port de Plaisance,camping,A,7.0,9.80,Péronne,80200,Route de Paris,49.9185425,2.9317266,+33 3 22 84 19 31,contact@camping-plaisance.com,https://camping-plaisance.com/,"3-star pleasure-port camping in Péronne; family-oriented riverside location likely has trees, adequate budget tier, and strong outdoor recreation positioning.",osm,osm:way/271699930
537,Camping de la Sapinière,camping,A,7.0,9.80,,60550,12 Rue de l'Égalité,49.2758776,2.5130863,+33 9 70 35 99 90,,https://www.campinglasapiniere.fr/,3-star 'Sapinière' (pine grove) camping strongly suggests mature trees on-site and family audience; good budget and outdoor focus align well with installation.,osm,osm:way/271711564
538,Camping La Vallée de l'Indre,camping,A,7.0,9.80,Montbazon,37250,1 La Grange Rouge,47.2911014,0.7146295,,,,"Camping in Loire valley 'Vallée de l'Indre' with family focus, likely riverside or parkland with mature trees, good outdoor amenity positioning.",osm,osm:way/271715911
539,Camping du Lac des Varennes,camping,A,7.0,9.80,Marçon,72340,Route du Port Gauthier,47.7138757,0.49628,+33 2 43 44 13 72,,https://www.lacdesvarennes.com/,"Lakeside camping attracts families seeking outdoor recreation; lake setting implies trees, good budget tier, and natural audience for adventure amenities.",osm,osm:way/271722135
540,Camping Eure,childrens_center,A,7.0,9.80,,,,49.3061572,1.1548599,,,,Children's center archetype with playground tag suggests active youth audience and outdoor focus; likely budget and owned space suitable for rope installations.,osm,osm:way/1430372959
541,Camping de la Forêt,camping,A,7.0,9.80,Jumièges,76480,Rue Mainberte,49.4343834,0.8300334,+33 2 35 37 93 43,info@campinglaforet.com,https://www.campinglaforet.com,"4-star quality-labeled campground near Jumièges abbey suggests premium positioning, strong family appeal, and likely mature trees in Norman woodland setting.",osm,osm:way/284872736
542,Camping des Bords de Loire,camping,A,7.0,9.80,Chouzé-sur-Loire,37140,Rue de l'Île Bourdon,47.2293128,0.1120343,+33 2 47 95 10 10,mairie@chouzesurloire.fr,https://chouze-sur-loire.fr/tourisme/hebergement-restauration/camping-municipal/,Riverside camping in Loire valley likely has mature trees on-site and family audience seeking outdoor recreation; good discretionary budget potential for campground amenity upgrade.,osm,osm:way/293862746
543,La Gravière du Moulin,camping,A,7.0,9.80,,,,47.7985882,4.0896186,+33386756867,lagravieredumoulin@lezinnes.fr,https://gravieredumoulin.lezinnes.fr/,3-star camping with 'Gravière du Moulin' name suggests riverside location with natural features; family audience and decent budget capacity for amenity differentiation.,osm,osm:way/295930936
544,DOMAINE DE LA NOUE DES ROIS,camping,A,7.0,9.80,Saint-Hilaire-sous-Romilly,10100,Chemin des Brayes,48.527355,3.6655879,+33 3 25 24 41 60,contact@lanouedesrois.com,https://www.lanouedesrois.com/,"4-star campsite with likely mature grounds and family audience; good budget potential and outdoor space control, though outdoor activity infrastructure unknown.",osm,osm:way/296157470
545,Château des Marais,camping,A,7.0,9.80,,,,47.665549,1.5308128,+33 2 54 87 05 42,,https://www.sandaya.fr/nos-campings/chateau-des-marais,"5-star luxury campsite with strong budget potential, family audience, and likely mature grounds; excellent space control and discretionary spending profile.",osm,osm:way/298650366
546,Camping Les Berges de l'Iton,camping,A,7.0,9.80,Breteuil,27160,53,48.8316514,0.912278,+33 2 32 62 70 35,,https://www.campinglesbergesdeliton.com/,"3-star campsite with established operations, outdoor focus, family audience, and likely mature tree coverage on grounds; operator has stronger budget capacity than low-star alternatives.",osm,osm:way/325446467
547,Camping municipal Le Parc,camping,A,7.0,9.80,Arelaune-en-Seine,76940,65 Rue Victor Hugo,49.4844833,0.7711843,+33 2 35 37 12 04,mairie-sg.lamaillerayesurseine@wanadoo.fr,https://www.seine-maritime-tourisme.com/diffusio/fr/je-choisis/un-hebergement/campings/arelaune-en-seine/camping-le-parc_TFOHPANOR076FS0003N.php,"Municipal camping in a château park setting with Seine-side location and explicit mention of forest suggests mature trees and natural space. Camping audience aligns with families and outdoor enthusiasts, and municipal ownership provides stability, though budget clarity is uncertain.",osm,osm:relation/17459961
548,Ferme de l'Écluse,treehouse_hotel,A,7.0,9.80,,,,49.9436878,2.8176995,,,,"Treehouse/farm gîte likely combines trees with rural outdoor setting and adventure-seeking guests; however, 'Ferme de l'Écluse' and gîte positioning suggest smaller operator than dedicated treehouse hotels.",osm,osm:node/13062399203
549,La Maison du Vigneron,treehouse_hotel,A,7.0,9.80,Vincelles,51700,13 Rue de Verdun,49.0931141,3.6437801,,,,"Treehouse-labeled accommodation in Champagne region implies mature trees and outdoor adventure positioning; however, 'Maison du Vigneron' suggests wine/food focus secondary to tree experience, moderating score slightly.",osm,osm:way/610870614
550,Parc Résidentiel du Château de Nogentel,camping,A,7.0,9.80,,,,48.7228062,3.5168415,,,,Campsite with likely outdoor grounds and family audience; strong potential for mature trees on-site typical of rural French campsites. Budget tier and ownership control are favorable.,osm,osm:way/342948561
551,Camping des Trois Sources,camping,A,7.0,9.80,,,,49.1284085,2.2347575,+33 1 75 46 95 24,freulon692@gmail.com,,Campsite archetype suggests outdoor grounds and family/leisure focus; typical French campsites have mature trees and grounds suitable for rope-net installations. Good budget tier.,osm,osm:way/343025649
552,Le Pré des Moines,camping,A,7.0,9.80,,,,49.2106464,2.4266336,+33 3 44 56 60 48,contact@camping-lepredesmoines.com,https://www.camping-lepredesmoines.com/,Standard campsite with family audience and typical outdoor grounds; French campsites often feature mature trees and have budgets for guest amenities. Good fit.,osm,osm:way/556342963
553,Camping du Tertre,camping,A,7.0,9.80,,,,48.3493369,4.5279107,+33 3 25 92 26 50,,https://www.campingdutertre.fr/,"3-star campsite with family audience, likely mature trees on grounds, and budget tier supporting €5k amenity investment. Solid fit for rope-net installation.",osm,osm:way/344532683
554,Domaine Le Colombier,camping,A,7.0,9.80,,,,48.3481205,4.5318194,+33 3 25 92 23 47,,https://domaine-le-colombier.fr/,"Named ""Domaine"" suggests larger grounds with mature trees and family camping focus. Budget tier and archetype indicate capacity for €5k investment in guest experiences.",osm,osm:way/1185690454
555,Clos Cacheleux,camping,A,7.0,9.80,,,12 Route de Bouillancourt,50.0868773,1.7124807,+33 3 22 19 17 47,,https://camping-lecloscacheleux.fr,4-star campsite suggests better budget and family-oriented clientele; premium positioning and outdoor grounds increase likelihood of both trees and discretionary spend for activities like rope nets.,osm,osm:way/345557538
556,Val de Trie,camping,A,7.0,9.80,,,,50.0841115,1.7140335,+33 3 22 31 48 88,,https://www.camping-levaldetrie.fr,Val de Trie is a 4-star campsite with established amenities and premium positioning; likely attracts families seeking outdoor adventure and has mature grounds with trees.,osm,osm:way/1164875511
557,Camping Barre y va,camping,A,7.0,9.80,Rives-en-Seine,76490,16 Route de Villequier,49.5221478,0.7032678,+33 2 35 96 26 38,campingbarreyva@orange.fr,https://www.camping-barre-y-va.com,4-star campsite with swimming pool indicates premium positioning and family focus; Rives-en-Seine suggests riverside location with likely mature trees and grounds.,osm,osm:way/356955335
558,Camping Municipal Alésia,camping,A,7.0,9.80,VENAREY-LES LAUMES,21150,15 Rue du Docteur Roux,47.5436865,4.4515515,+33 3 80 96 07 76,camping@ville-venareyleslaumes.fr,https://www.venareyleslaumes.fr/camping-municipal-alesia,"Municipal camping with established infrastructure, family audience, and outdoor space; strong candidate despite public/municipal nature (camping parks often have budgets for amenities).",osm,osm:way/364610568
559,Camping La Cascade,camping,A,7.0,9.80,,,,47.8594571,3.9858307,+33 6 11 23 24 52,,https://camping.ville-tonnerre.com,3-star camping with family-oriented audience and outdoor grounds; good fit if trees are present; discretionary budget likely for amenities.,osm,osm:way/364619848
560,Le Clos des Charmilles,camping,A,7.0,9.80,,,15 Route de Barville,49.7824705,0.642131,+33 2 35 97 70 37,camping@cany-barville.fr,https://www.camping-cany-barville.fr,3-star camping with family audience and established grounds; strong discretionary budget and outdoor space; good fit if mature trees present.,osm,osm:way/365260511
561,Le Brévedent,camping,A,7.0,9.80,,,,49.2260394,0.3046177,+33 2 31 64 72 88,contact@campinglebrevedent.com,https://www.campinglebrevedent.com/,"4-star campsite with family audience and likely outdoor grounds; strong budget potential and family-oriented positioning, though trees and long-term control not explicitly confirmed.",osm,osm:way/366570116
562,Camping de l'Étang du Goulot,camping,A,7.0,9.80,,,,47.2824837,3.8243261,,,,Camping sites attract families and outdoor enthusiasts with discretionary spending; Tier A suggests decent scale and budget. Likely has trees for anchor points and audience values active play.,osm,osm:way/393973939
563,Hameau du saut du loup,camping,A,7.0,9.80,,,,48.8217606,1.7842912,,,,Named 'Hameau du saut du loup' suggests outdoor/adventure positioning; camping site format indicates family/active audience and reasonable budget for a 3-4 star equivalent operator.,osm,osm:way/400443349
564,Les Iles,camping,A,7.0,9.80,Ivry-la-Bataille,27540,Chemin du Roy,48.8767945,1.4640948,+33 2 37 64 55 77,info@les-iles-parc-de-loisirs.fr,https://www.les-iles-parc-de-loisirs.fr/,4-star campsite in Ivry-la-Bataille signals premium positioning and higher budget; family camping audience values outdoor play; likely mature trees on-site.,osm,osm:way/403466471
565,Canada,camping,A,7.0,9.80,Épône,78680,Route de Septeuil,48.9241475,1.7907202,+33 1 30 42 61 76,,https://www.campingcanada.fr/,3-star campsite suggests solid mid-market budget and family clientele interested in outdoor activities; likely has trees and sufficient space for installation.,osm,osm:way/404390067
566,Camping de Mansigné,camping,A,7.0,9.80,,,,47.7512211,0.13487,,,,3-star campsite with good budget positioning and family/outdoor audience; typical camping grounds have mature trees suitable for anchors.,osm,osm:way/406608765
567,Domaine du Houssay,camping,A,7.0,9.80,,,,47.9212476,0.1585502,,,,'Domaine du Houssay' suggests private grounds with trees; camping site format attracts families and active users; solid operator potential with likely budget for $5k investment.,osm,osm:way/407248986
568,Camping Loire et Châteaux,camping,A,7.0,9.80,Bréhémont,37130,Le Stade,47.2908313,0.3536757,+33 9 88 28 24 85; +33 7 72 23 41 24,camping@loireetchateaux.com,https://www.loireetchateaux.com/,A-tier campsite in Loire Valley with family/outdoor audience and likely mature trees; good budget positioning for leisure operator. Primary question is whether trees are mature/well-spaced enough for rope anchors.,osm,osm:way/439726877
569,Free Wildcamping From Hauteroche Climbing Cliff,camping,A,7.0,9.80,,,,47.4878966,4.5928867,,,,"Climbing-cliff campsite indicates adventure audience and outdoor infrastructure sensibility; rural location likely has trees. Low star-rating and 'free' model suggest tight budget, but climbing affinity is valuable signal.",osm,osm:way/442066090
570,Les Pommiers,camping,A,7.0,9.80,Saint-Sylvestre-de-Cormeilles,27260,157 Route de Lieurey,49.2463474,0.4501748,+33 2 32 42 29 69,,https://www.campinglespommiers.com,"3-star camping with likely outdoor grounds and family audience; owns/controls land long-term. Name 'Les Pommiers' (apple orchards) suggests mature trees on-site, fitting anchor-point needs.",osm,osm:way/461183258
571,Camping du Château et de l'Oseraie,camping,A,7.0,9.80,,,,49.9487751,2.8439501,+33 322 831 759,jsg-bred@wanadoo.fr,https://www.camping-chateau-oseraie.fr/,3-star camping with likely grounds and family audience. 'Château et l'Oseraie' name suggests scenic estate with mature vegetation and long-term land control.,osm,osm:way/469721811
572,Camping des Etangs de Marsalin,camping,A,7.0,9.80,Vert-en-Drouais,28500,3 Place Charles de Gaulle,48.7614332,1.289395,+33 2 37 82 92 23,camping.etangs.de.marsalin@wanadoo.fr,http://www.campingdemarsalin.fr/camping-eure-et-loir.html,3-star camping with 'Etangs' (ponds) name suggesting scenic grounds; family audience and land ownership. Likely mature trees and waterside setting.,osm,osm:way/478476519
573,Camping le Mont Cesar,camping,A,7.0,9.80,Gouvieux,60270,10 Avenue de Toutevoie,49.2007395,2.4064295,+33 3 44 57 02 05,lemontcesar@orange.fr,https://www.lemontcesar.com/,Named camping site with 'Mont Cesar' suggesting topography and possibly wooded terrain; family-oriented archetype and long-term land control in Gouvieux area.,osm,osm:way/478708667
574,Couleurs du Monde,camping,A,7.0,9.80,,,,47.333996,1.1898569,+33 2 54 32 06 08,contact@camping-couleurs-du-monde.com,https://www.camping-couleurs-du-monde.com,4-star campsite strongly suggests quality grounds with mature trees and family clientele; excellent space control and operator budget for installation.,osm,osm:way/498645240
575,Gite Chambres d'Hotes,treehouse_hotel,A,7.0,9.80,,37420,15 Rue des Fougeres,47.2455869,0.3193608,+33 2 47 95 57 85,dm.cutini@orange.fr,http://www.lajuranvillerie.com,Treehouse/chalet hotel archetype strongly suggests existing tree infrastructure and adventure-focused clientele; Tier A suggests solid operator with budget capacity and outdoor commitment.,osm,osm:node/4770648523
576,L'Aiguille Creuse,camping,A,7.0,9.80,Les Loges,76790,24 Résidence de l'Aiguille Creuse,49.697829,0.2758679,+33235295210,camping@aiguillecreuse.com,https://www.campingaiguillecreuse.com/,"4-star campsite with bike-focused hospitality and large common spaces (200m²) suggests budget flexibility, family/active audience, and professional operations; likely has grounds and trees for installation.",osm,osm:way/520104347
577,Camping les Aubépines,camping,A,7.0,9.80,,,,49.2621017,2.3625514,+33 3 22 27 01 34,contact@camping-lesaubepines.com,https://www.camping-lesaubepines.com/,4-star campsite with elevated amenities and positioning; family audience and premium tier suggest discretionary budget; likely has developed grounds with trees.,osm,osm:way/559258887
578,Tolysland,leisure_park,A,7.0,9.80,,,,49.2301958,1.3807501,+33232540019,,https://www.tolysland.com/,"Theme park with outdoor space, family/adventure audience, and demonstrated event/attraction budget; likely has trees and discretionary capital for amenities.",osm,osm:way/358671479
579,Camping de L'Espérance *,camping,A,7.0,9.80,Montfort-sur-Risle,27290,82 Rue Saint-Pierre,49.3025957,0.6535681,,,,Camping with likely outdoor grounds and family audience suitable for rope-net play; mature trees probable in rural Normandy setting. Budget and ownership structure typical of established campgrounds.,osm,osm:way/612631141
580,Camping du Val Rose,camping,A,7.0,9.80,,,,47.2684408,1.8621094,,,,Established campground with family appeal and owned grounds in rural location; trees likely present. Mid-tier operator plausibly has budget for value-add attraction.,osm,osm:way/620908222
581,Le Village,camping,A,7.0,9.80,Longpré-les-Corps-Saints,80510,Cavée Vincent,50.0131218,1.9863909,+33 3 22 31 84 44,,,Established Picardy campground with family market and owned grounds; rural location suggests mature trees. Plausible budget for activity enhancement.,osm,osm:way/622308475
582,Aire naturelle de camping La Pâture,camping,A,7.0,9.80,Yport,76111,Rue André Toutain,49.7354212,0.3070608,+33 2 27 30 68 03,contact@lapature.fr,https://www.lapature.fr,Coastal Normandy camping with family appeal and natural setting; rural location near Yport suggests trees. Established operator likely has modest budget for attractions.,osm,osm:way/622835290
583,La Chênaie,camping,A,7.0,9.80,Yport,76111,Rue Henry Simon,49.7319526,0.3211842,+33 2 35 27 33 56,camping.yport@flowercampings.com,https://www.camping-normandie-yport.com,Campsite with name 'La Chênaie' (oak grove) strongly suggests mature trees on-site; family-oriented audience; 3-star tier indicates established operator with discretionary budget.,osm,osm:way/691230047
584,Camping Du Pavillon,camping,A,7.0,9.80,La Neuville-aux-Joûtes,08380,Le Pavillon,49.9192565,4.2510378,+33 7 83 48 72 42; +33 7 86 18 07 49,,https://campingdupavillon.weebly.com,Farm campsite ('à la ferme') typically features mature landscape; family-oriented audience; mid-tier capacity suggests $5k budget feasibility.,osm,osm:way/627986451
